21.443,2.146,1.8681,3.8138,3.9293,5.6677,5.3346,4.3738,4.2115,5.28,8.2552
24.357,5.1339,6.7392,8.223,9.3518,10.359,11.295,10.972,12.868,13.388,13.722
20.173,5.2959,7.333,7.8585,10.086,11.09,11.441,12.287,12.422,13.599,14.602
21.048,6.5607,8.4275,10.31,11.318,12.677,13.688,14.361,14.064,14.734,15.726
25.645,5.9201,9.4306,10.969,12.123,12.807,13.398,14.336,14.965,15.327,16.625
21.139,7.0034,9.7752,10.405,11.668,12.448,13.244,15.181,15.767,16.214,18.283
21.274,6.9867,9.6211,11.519,13.453,14.475,15.672,17.101,17.715,18.632,19.162
23.961,8.0956,10.543,11.696,13.353,14.386,15.99,17.091,18.055,18.893,19.542
22.423,8.268,10.87,11.669,13.451,15.054,16.721,17.912,18.917,19.362,19.769
27.017,7.3613,10.131,12.155,13.812,15.167,16.219,16.971,18.294,18.95,19.332
20.636,8.0815,10.922,12.998,14.427,15.393,16.38,17.264,17.915,19.277,20.381
19.696,9.7434,12.274,13.932,15.715,17.327,18.2,19.712,20.157,21.347,22.44
22.62,8.7923,11.49,12.903,14.329,15.736,16.811,17.696,18.532,19.141,20.687
21.159,8.8581,10.963,13.294,14.779,16.134,17.312,18.822,19.915,21.127,22.049
23.141,7.6794,10.896,12.606,14.96,16.412,17.242,17.534,19.21,20.28,20.491
24.11,7.9982,10.606,11.875,13.188,14.998,16.305,17.323,18.873,20.375,20.659
25.384,7.243,10.881,13.414,15.346,16.97,18.282,18.986,20.141,21.525,22.371
21.893,8.3062,11.252,12.743,14.472,16.041,17.768,19.057,20.07,20.825,21.393
23.24,7.2108,10.11,12.491,14.012,16.15,17.421,18.109,19.321,20.581,22.27
23.722,9.4973,11.47,13.331,15.163,17.049,17.551,18.817,20.326,20.695,22.219
