214.43,21.46,18.681,38.138,39.293,56.677,53.346,43.738,42.115,52.8,82.552
243.57,51.339,67.392,82.23,93.518,103.59,112.95,109.72,128.68,133.88,137.22
201.73,52.959,73.33,78.585,100.86,110.9,114.41,122.87,124.22,135.99,146.02
210.48,65.607,84.275,103.1,113.18,126.77,136.88,143.61,140.64,147.34,157.26
256.45,59.201,94.306,109.69,121.23,128.07,133.98,143.36,149.65,153.27,166.25
211.39,70.034,97.752,104.05,116.68,124.48,132.44,151.81,157.67,162.14,182.83
212.74,69.867,96.211,115.19,134.53,144.75,156.72,171.01,177.15,186.32,191.62
239.61,80.956,105.43,116.96,133.53,143.86,159.9,170.91,180.55,188.93,195.42
224.23,82.68,108.7,116.69,134.51,150.54,167.21,179.12,189.17,193.62,197.69
270.17,73.613,101.31,121.55,138.12,151.67,162.19,169.71,182.94,189.5,193.32
206.36,80.815,109.22,129.98,144.27,153.93,163.8,172.64,179.15,192.77,203.81
196.96,97.434,122.74,139.32,157.15,173.27,182,197.12,201.57,213.47,224.4
226.2,87.923,114.9,129.03,143.29,157.36,168.11,176.96,185.32,191.41,206.87
211.59,88.581,109.63,132.94,147.79,161.34,173.12,188.22,199.15,211.27,220.49
231.41,76.794,108.96,126.06,149.6,164.12,172.42,175.34,192.1,202.8,204.91
241.1,79.982,106.06,118.75,131.88,149.98,163.05,173.23,188.73,203.75,206.59
253.84,72.43,108.81,134.14,153.46,169.7,182.82,189.86,201.41,215.25,223.71
218.93,83.062,112.52,127.43,144.72,160.41,177.68,190.57,200.7,208.25,213.93
232.4,72.108,101.1,124.91,140.12,161.5,174.21,181.09,193.21,205.81,222.7
237.22,94.973,114.7,133.31,151.63,170.49,175.51,188.17,203.26,206.95,222.19
